,item_name,price,menu_section,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
54,Chipotle Ranch Grilled Chicken Burrito,$2.00,Cravings Value Menu,510,29g,7g,0g,45mg,950mg,47g,4g,3g,2g,17g,0mcg,200mg,2.9mg,350mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Beefy Melt Burrito,$2.00,Cravings Value Menu,620,29g,11g,0g,45mg,1190mg,70g,6g,4g,2g,20g,0mcg,360mg,3.6mg,410mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Cheesy Bean and Rice Burrito,$1.00,Cravings Value Menu,420,16g,4g,0g,<5mg,920mg,55g,7g,3g,2g,9g,0mcg,160mg,3.4mg,360mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Fiesta Veggie Burrito,$2.00,Cravings Value Menu,570,28g,8g,0g,25mg,1020mg,65g,9g,4g,2g,14g,19.2mcg,270mg,3.8mg,470mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Cheesy Roll Up,$1.00,Cravings Value Menu,180,9g,6g,0g,20mg,430mg,17g,1g,1g,<1g,8g,0mcg,230mg,1mg,60mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Strawberry Twists,$1.00,Cravings Value Menu,160,6g,0g,0g,0mg,280mg,26g,1g,11g,0g,1g,0mcg,10mg,0.2mg,30mg,,,,,,,,,,,
60,Cinnamon Twists,$1.00,Cravings Value Menu,170,6g,0.5g,0g,0mg,115mg,27g,<1g,10g,10g,1g,0mcg,10mg,0mg,20mg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Chicken Quesadilla,$5.59,Quesadillas,520,26g,13g,0g,75mg,1260mg,41g,3g,3g,2g,26g,0mcg,500mg,2.6mg,290mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Wild Strawberry Freeze,$3.69,Drinks,190,0g,0g,0g,0mg,55mg,51g,0g,51g,51g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
63,Blue Raspberry Freeze,$3.69,Drinks,150,0g,0g,0g,0mg,40mg,38g,0g,38g,38g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
64,Pepsi®,$2.59,Drinks,380,0g,0g,0g,0mg,80mg,103g,0g,103g,103g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
65,Diet Pepsi®,$2.59,Drinks,0,0g,0g,0g,0mg,140mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
66,Pepsi® Zero Sugar,$2.59,Drinks,0,0g,0g,0g,0mg,160mg,<1g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
67,Cherry Pepsi®,$2.59,Drinks,390,0g,0g,0g,0mg,80mg,106g,0g,105g,105g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
68,MTN DEW®,$2.59,Drinks,420,0g,0g,0g,0mg,130mg,110g,0g,110g,110g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
69,MTN DEW® Zero,$2.59,Drinks,5,0g,0g,0g,0mg,115mg,<1g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
70,MTN DEW® Baja Blast™ Zero Sugar,$2.59,Drinks,15,0g,0g,0g,0mg,125mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
