,item_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
74,Cherry Pepsi®,2.59,390.0,0.0,0.0,0.0,0.0,80.0,106.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
75,MTN DEW®,2.59,420.0,0.0,0.0,0.0,0.0,130.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
76,MTN DEW® Zero,2.59,5.0,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
77,MTN DEW® Baja Blast™ Zero Suar,2.59,15.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
78,Mu® Root Beer,2.59,360.0,0.0,0.0,0.0,0.0,140.0,96.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
79,Starry®,2.59,370.0,0.0,0.0,0.0,0.0,85.0,97.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
80,G2 Gatorade® Fruit Punch,2.59,80.0,0.0,0.0,0.0,0.0,410.0,19.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
81,Brisk® Mano Fiesta,2.59,170.0,0.0,0.0,0.0,0.0,95.0,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
82,Lipton® Unsweetened Iced Tea,2.59,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
83,Nachos BellGrande®,6.19,730.0,38.0,6.0,0.0,25.0,1130.0,81.0,15.0,4.0,1.0,17.0,0.0,200.0,2.7,970.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Black Bean Chalupa Supreme®,4.19,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,1.0,10.0,0.0,140.0,2.5,300.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Power Menu Bowl - Veie,6.79,420.0,20.0,5.0,0.0,20.0,870.0,47.0,11.0,3.0,0.0,12.0,19.2,170.0,2.7,590.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Power Menu Bowl,6.99,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,26.0,19.2,160.0,2.0,700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Cheesy Toasted Breakfast Burrito Bacon,1.69,350.0,16.0,5.0,0.0,105.0,880.0,38.0,2.0,3.0,2.0,13.0,0.0,150.0,3.0,270.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Cheesy Toasted Breakfast Burrito Sausae,1.69,350.0,17.0,6.0,0.0,105.0,770.0,38.0,2.0,3.0,2.0,10.0,0.0,150.0,2.9,240.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Cheesy Toasted Breakfast Burrito Potato,1.69,340.0,14.0,3.5,0.0,95.0,770.0,44.0,3.0,3.0,1.0,9.0,0.0,150.0,3.0,350.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Grande Toasted Breakfast Burrito Steak,4.39,570.0,28.0,10.0,0.0,230.0,1370.0,52.0,4.0,4.0,2.0,27.0,0.0,360.0,4.1,520.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Grande Toasted Breakfast Burrito Sausae,3.79,570.0,31.0,12.0,0.0,220.0,1190.0,51.0,4.0,3.0,2.0,21.0,0.0,340.0,3.6,450.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Grande Toasted Breakfast Burrito Bacon,3.79,570.0,30.0,11.0,0.0,220.0,1310.0,52.0,4.0,3.0,2.0,23.0,0.0,340.0,3.7,470.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Breakfast Quesadilla Sausae,3.69,510.0,29.0,15.0,0.0,150.0,1130.0,40.0,3.0,3.0,2.0,23.0,0.0,510.0,2.9,200.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Breakfast Quesadilla Bacon,3.69,510.0,27.0,14.0,0.0,150.0,1250.0,41.0,3.0,3.0,2.0,25.0,0.0,510.0,3.0,230.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Breakfast Quesadilla Steak,3.99,510.0,25.0,14.0,0.0,160.0,1310.0,41.0,3.0,4.0,2.0,28.0,0.0,520.0,3.5,270.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Breakfast California Crunchwrap,3.99,630.0,37.0,12.0,0.0,130.0,1340.0,53.0,5.0,3.0,2.0,21.0,19.2,350.0,3.1,500.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Breakfast Crunchwrap Bacon,3.79,670.0,40.0,13.0,0.0,135.0,1300.0,52.0,4.0,3.0,2.0,21.0,0.0,350.0,3.0,390.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Breakfast Crunchwrap Sausae,3.79,750.0,49.0,16.0,0.0,145.0,1220.0,53.0,4.0,3.0,2.0,21.0,0.0,360.0,3.3,400.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Hash Brown,1.69,160.0,11.0,1.0,0.0,0.0,280.0,14.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,190.0,,,,,,,,,,,
